Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
SCG,Scana Corp,46.66,0.55,1.19%,46.81,45.98,1509300,11/30/2018
SCHW,The Charles Schwab Corp,44.8,0.64,1.45%,44.81,43.92,13690900,11/30/2018
SEE,Sealed Air Corp,36.53,0.12,0.33%,36.78,36.16,2228200,11/30/2018
SHW,Sherwin-Williams Company,424.07,4.31,1.03%,424.28,418.48,603000,11/30/2018
SIVB,Svb Financial Grp,254.81,11.09,4.55%,256.36,242.32,1093700,11/30/2018
SJM,J.M. Smucker Company,104.51,1.07,1.03%,104.78,103.07,2051700,11/30/2018
SLB,Schlumberger N.V.,45.1,-0.8,-1.74%,45.55,44.68,16183900,11/30/2018
SLG,SL Green Realty Corp,96.42,2.6,2.77%,96.78,94,1446700,11/30/2018
SNA,Snap-On Inc,166.24,2.24,1.37%,166.46,162.79,724500,11/30/2018
SNPS,Synopsys Inc,91.94,2.42,2.70%,91.96,89.24,3192100,11/30/2018
SO,Southern Company,47.33,0.79,1.70%,47.37,46.51,7133500,11/30/2018
SPG,Simon Property Group,185.69,1.09,0.59%,186.43,183.68,3130900,11/30/2018
SPGI,S&P Global Inc,182.86,2.51,1.39%,183.15,179.7,2376200,11/30/2018
SRCL,Stericycle Inc,48.07,-0.14,-0.29%,48.93,47.58,23209799,11/30/2018
SRE,Sempra Energy,115.22,2.55,2.26%,115.35,112.61,3267000,11/30/2018
STI,Suntrust Banks,62.69,0.2,0.32%,63.25,62.21,3127200,11/30/2018
STT,State Street Corp,73.02,0.65,0.90%,73.29,72.18,3238000,11/30/2018
STX,Seagate Tech Ord Shs,43.09,0.44,1.03%,43.16,41.79,4699200,11/30/2018
STZ,Constellation Brands Inc,195.76,-0.45,-0.23%,197.67,194.88,1663000,11/30/2018
SWK,Stanley Black & Decker Inc,130.85,3.39,2.66%,130.94,127.13,1339300,11/30/2018
SWKS,Skyworks Solutions,72.77,1.54,2.16%,72.9,70.46,2884200,11/30/2018
SYF,Synchrony Financial,25.98,0.01,0.04%,26.04,25.73,5840600,11/30/2018
SYK,Stryker Corp,175.46,4.55,2.66%,175.51,171.16,2590200,11/30/2018
SYMC,Symantec Corp,22.11,-0.47,-2.08%,22.59,21.89,5928600,11/30/2018
SYY,Sysco Corp,67.4,-0.14,-0.21%,67.66,66.27,6067700,11/30/2018
T,AT&T Inc,31.24,0.67,2.19%,31.43,30.68,80467203,11/30/2018
TAP,Molson Coors Brewing Company,65.77,1.46,2.27%,65.86,64.5,2655600,11/30/2018
TDG,Transdigm Group Inc,361.67,-5.7,-1.55%,368.47,357.81,492100,11/30/2018
TEL,Te Connectivity Ltd,76.93,1.23,1.62%,76.99,75.54,2259600,11/30/2018
TGT,Target Corp,70.96,-0.21,-0.30%,71.67,70.33,7100400,11/30/2018
TIF,Tiffany & Co,91,1.23,1.37%,91.89,89.03,4068100,11/30/2018
TJX,TJX Companies,48.85,1.36,2.86%,49.05,47.47,17529301,11/30/2018
TMK,Torchmark Corp,86.41,-0.91,-1.04%,87.71,86.38,813600,11/30/2018
TMO,Thermo Fisher Scientific Inc,249.55,0.98,0.39%,250.45,247.73,2201600,11/30/2018
TPR,Tapestry Inc,38.93,0.92,2.42%,38.93,38.01,6000700,11/30/2018
TRIP,Tripadvisor Inc,64.06,0.52,0.82%,64.21,62.63,2166600,11/30/2018
TROW,T Rowe Price Group,99.36,1.49,1.52%,99.61,96.56,3022200,11/30/2018
TRV,The Travelers Companies Inc,130.37,-0.26,-0.20%,130.95,128.71,2142600,11/30/2018
TSCO,Tractor Supply Co,95.13,0.46,0.49%,95.58,93.95,1633800,11/30/2018
TSN,Tyson Foods,58.95,1.23,2.13%,58.97,57.79,3247000,11/30/2018
TSS,Total System Services,87.37,0.17,0.19%,87.85,86.68,1715100,11/30/2018
TTWO,Take-Two Interacti,109.67,-2.24,-2.00%,112.2,108.9,2561800,11/30/2018
TWTR,Twitter Inc,31.45,0.15,0.48%,31.55,30.11,25833102,11/30/2018
TXN,Texas Instruments,99.85,2.42,2.48%,99.89,96.92,8685900,11/30/2018
TXT,Textron Inc,56.14,0.18,0.32%,56.48,55.42,1713200,11/30/2018
UA,Under Armour Inc Class C Comm,22.33,0.58,2.67%,22.76,21.88,4723100,11/30/2018
